Test,Final_Score,Avg_Score,Drift_Detected,Max_Score,Repair_Events
Stable (Books),0.0,0.10180680100424559,False,0.15308036363509314,0
Stable (Facebook),0.08184779170178086,0.11873830809284963,False,0.15234003937764362,0
Mixed (All Datasets),0.36050017573249554,0.1702578713310664,False,0.36050017573249554,0
Gradual Drift (Simulated),0.4146740867136888,0.20932025573562363,True,0.4249842366320415,2
Sudden Shift (Simulated),0.5424935162732542,0.20895942820508984,True,0.5424935162732542,1
